Sample2,Species,Common_name,Taxa,Sex,Situ,Location,Country,CollectionYear,TissueStorage,SampleType,ExtractionKit,Environment
CV163,Apodemus agrarius,Striped field mouse,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV179,Apodemus agrarius,Striped field mouse,Mammal,Female,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV191,Apodemus agrarius,Striped field mouse,Mammal,Female,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV20,Apodemus agrarius,Striped field mouse,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
P10,Equus ferus caballus,Wild pony,Mammal,Female,Wild,"Snowdonia National Park, Wales",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
P100,Equus ferus caballus,Wild pony,Mammal,Female,Wild,"Snowdonia National Park, Wales",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
P103,Equus ferus caballus,Wild pony,Mammal,Female,Wild,"Snowdonia National Park, Wales",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
P104,Equus ferus caballus,Wild pony,Mammal,Male,Wild,"Snowdonia National Park, Wales",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
P107,Equus ferus caballus,Wild pony,Mammal,Female,Wild,"Snowdonia National Park, Wales",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
P108,Equus ferus caballus,Wild pony,Mammal,Male,Wild,"Snowdonia National Park, Wales",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
P111,Equus ferus caballus,Wild pony,Mammal,Female,Wild,"Snowdonia National Park, Wales",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
P115,Equus ferus caballus,Wild pony,Mammal,Male,Wild,"Snowdonia National Park, Wales",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
P116,Equus ferus caballus,Wild pony,Mammal,Male,Wild,"Snowdonia National Park, Wales",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
P48,Equus ferus caballus,Wild pony,Mammal,Male,Wild,"Snowdonia National Park, Wales",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
CV100,Apodemus sylvaticus,Wood mouse,Mammal,Female,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV105,Apodemus sylvaticus,Wood mouse,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV2,Apodemus sylvaticus,Wood mouse,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV31,Apodemus sylvaticus,Wood mouse,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV34,Apodemus sylvaticus,Wood mouse,Mammal,Female,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV4,Apodemus sylvaticus,Wood mouse,Mammal,Female,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV45,Apodemus sylvaticus,Wood mouse,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV5,Apodemus sylvaticus,Wood mouse,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV6,Apodemus sylvaticus,Wood mouse,Mammal,Female,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV80,Apodemus sylvaticus,Wood mouse,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV104,Apodemus flavicollis,Yellow-necked mouse,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV109,Apodemus flavicollis,Yellow-necked mouse,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV111,Apodemus flavicollis,Yellow-necked mouse,Mammal,Female,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV124,Apodemus flavicollis,Yellow-necked mouse,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV132,Apodemus flavicollis,Yellow-necked mouse,Mammal,Female,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV141,Apodemus flavicollis,Yellow-necked mouse,Mammal,Female,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV142,Apodemus flavicollis,Yellow-necked mouse,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV151,Apodemus flavicollis,Yellow-necked mouse,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV160,Apodemus flavicollis,Yellow-necked mouse,Mammal,Female,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV166,Apodemus flavicollis,Yellow-necked mouse,Mammal,Female,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
