Sample2,Species,Common_name,Taxa,Sex,Situ,Location,Country,CollectionYear,TissueStorage,SampleType,ExtractionKit,Environment
CR10,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial
CR13,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial
CR14,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial
CR16,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial
CR17,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial
CR18,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial
CR20,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial
CR26,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial
CR3,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial
CR4,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial
CR7,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial
CR8,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial
Bird65,Phylloscopus collybita,Chiffchaff,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2019,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird66,Phylloscopus collybita,Chiffchaff,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird67,Phylloscopus collybita,Chiffchaff,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird68,Phylloscopus collybita,Chiffchaff,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird69,Phylloscopus collybita,Chiffchaff,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird70,Phylloscopus collybita,Chiffchaff,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird71,Phylloscopus collybita,Chiffchaff,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird72,Phylloscopus collybita,Chiffchaff,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
E49,Streptopelia decaocto,Collared dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
